University Name_Shanghai,Links_Shanghai,University Name_Links2,Links_Links2,University Name_final,Links_final,University Name_LinksXLSX,Links_LinksXLSX
psl university,https://www.shanghairanking.com/institution/psl-university,university of cambridge,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67516113,national university of singapore (nus),https://www.nus.edu.sg/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
the university of manchester,https://www.shanghairanking.com/institution/the-university-of-manchester,university of manchester,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-29944014,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
the university of texas at austin,https://www.shanghairanking.com/institution/the-university-of-texas-at-austin,university of texas at austin,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-33268802,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,monash university,https://www.monash.edu/study/interest-areas/health
university of british columbia,https://www.shanghairanking.com/institution/university-of-british-columbia,university of british columbia,https://www.timeshighereducation.com/student/register-interest/applyboard?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-91511981,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
"university of minnesota, twin cities",https://www.shanghairanking.com/institution/university-of-minnesota-twin-cities,university of minnesota,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-25162572,university of colombo,https://cmb.ac.lk/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
shanghai jiao tong university,https://www.shanghairanking.com/institution/shanghai-jiao-tong-university,harvard university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48698023,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
sorbonne university,https://www.shanghairanking.com/institution/sorbonne-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
the university of texas southwestern medical center at dallas,https://www.shanghairanking.com/institution/the-university-of-texas-southwestern-medical-center-at-dallas,university of oxford,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101,national university of singapore (nus),https://www.nus.edu.sg/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
university of geneva,https://www.shanghairanking.com/institution/university-of-geneva,massachusetts institute of technology,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
"university of maryland, college park",https://www.shanghairanking.com/institution/university-of-maryland-college-park,"university of maryland, college park",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-76110123,university of colombo,https://cmb.ac.lk/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
the university of queensland,https://www.shanghairanking.com/institution/the-university-of-queensland,harvard university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48698023,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
university of illinois at urbana-champaign,https://www.shanghairanking.com/institution/university-of-illinois-at-urbana-champaign,university of illinois at urbana-champaign,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-24020534,university of colombo,https://cmb.ac.lk/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
utrecht university,https://www.shanghairanking.com/institution/utrecht-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
swiss federal institute of technology lausanne,https://www.shanghairanking.com/institution/swiss-federal-institute-of-technology-lausanne,university of oxford,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101,university of colombo,https://cmb.ac.lk/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
heidelberg university,https://www.shanghairanking.com/institution/heidelberg-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
fudan university,https://www.shanghairanking.com/institution/fudan-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
university of colorado at boulder,https://www.shanghairanking.com/institution/university-of-colorado-at-boulder,university of colorado boulder,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-73893083,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,monash university,https://www.monash.edu/study/interest-areas/health
university of southern california,https://www.shanghairanking.com/institution/university-of-southern-california,university of southern california,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-74975443,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,monash university,https://www.monash.edu/study/interest-areas/health
king's college london,https://www.shanghairanking.com/institution/kings-college-london,london school of economics and political science,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-89868061,king abdullah university of science and technology,https://www.kaust.edu.sa/en/research/generative-ai,,Not Available
technical university of munich,https://www.shanghairanking.com/institution/technical-university-of-munich,university of oxford,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
